original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Ghosi_Jamalpur_D (Uttar Pradesh),Ghosi,Jamalpur,D,Uttar Pradesh,26.145957,83.529854,"Jamalpur, Ghosi, UP, India",Jamalpur,,,,Jamalpur,,Ghosi,Mau,,Uttar Pradesh,UP,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dohrighat_AzmrdDPP_D (Uttar Pradesh),Dohrighat,AzmrdDPP,D,Uttar Pradesh,26.273727,83.5098005,"Dohrighat, UP, India",,,,,,275303,Dohrighat,Ghosi,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eral_Busstand_D (Tamil Nadu),Eral,Busstand,D,Tamil Nadu,8.6253791,78.0228746,"Eral, TN, India",,,,,,628800,Eral,Srivaikuntam,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tirchchndr_Shnmgprm_D (Tamil Nadu),Tirchchndr,Shnmgprm,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Thisayanvilai_UdnkdiRD_D (Tamil Nadu),Thisayanvilai,UdnkdiRD,D,Tamil Nadu,8.3355721,77.8668199,"Thisayanvilai, TN, India",,,,,,635308,Thisayanvilai,Tisayanvilai,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jalna_BhgyaNgr_D (Maharashtra),Jalna,BhgyaNgr,D,Maharashtra,19.8393394,75.8818806,"Jalna, MH, India",,,,,,431200,Jalna,Jalna,,Maharashtra,MH,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karnal (Haryana),Karnal,,,Haryana,29.6803266,76.9896254,"Karnal, HR, India",,,,,,132001,Karnal,Karnal,,Haryana,HR,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sankerko_AmbkaDPP_D (Orissa),Sankerko,AmbkaDPP,D,Orissa,,,,,,,,,,,,,,,,,,,,,,
Delhi_Rohini_DPC (Delhi),Delhi,Rohini,DPC,Delhi,28.732753,77.122822,"Rohini, Delhi, NW, India",Rohini,,,,Rohini,,Delhi,North West Delhi,NW,Delhi,DL,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Delhi_Barwala (Delhi),Delhi,,Barwala,Delhi,28.6138954,77.2090057,"New Delhi, DL, India",,,,,,,New Delhi,,,Delhi,DL,India,in,0.9,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guna_Raghogrh_D (Madhya Pradesh),Guna,Raghogrh,D,Madhya Pradesh,24.646524,77.312591,"Guna, GN, India",,,,,,,Guna,Guna,GN,Madhya Pradesh,MP,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Varanasi_Central_H_4 (Uttar Pradesh),Varanasi,Central,H4,Uttar Pradesh,25.34637885,82.96338205747989,"Central Jail Varanasi, Central Jail Road, Varanasi - 221003, UP, India",Central Jail Varanasi,,Central Jail Road,,,221003,Varanasi,Sadar,,Uttar Pradesh,UP,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agra_Idgah_P (Uttar Pradesh),Agra,Idgah,P,Uttar Pradesh,27.173879,77.999938,"Idgah Station, Agra - 282010, UP, India",,,Idgah Station,,,282010,Agra,Agra,AG,Uttar Pradesh,UP,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guna_HnumnDPP_D (Madhya Pradesh),Guna,HnumnDPP,D,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,
Ashokngr_Bypassrd_D (Madhya Pradesh),Ashokngr,Bypassrd,D,Madhya Pradesh,22.952601,78.35788,"Madhya Pradesh, India",Madhya Pradesh,,,,,,,,,Madhya Pradesh,MP,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chennai_Madhavaram_L (Tamil Nadu),Chennai,Madhavaram,L,Tamil Nadu,13.14989,80.213044,"Madhavaram, Chennai, CH, India",Madhavaram,,,Madhavaram,,,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
JoguGadwal_ColctrOf_D (Telangana),JoguGadwal,ColctrOf,D,Telangana,,,,,,,,,,,,,,,,,,,,,,
Ghaziabad_Patel Nagar (Uttar Pradesh),Ghaziabad,,Patel Nagar,Uttar Pradesh,28.6711527,77.4120356,"Ghaziabad, UP, India",,,,,,,Ghaziabad,Ghaziabad,,Uttar Pradesh,UP,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guwahati_UzanBazr_DC (Assam),Guwahati,UzanBazr,DC,Assam,26.1805978,91.753943,"Guwahati, AS, India",,,,,,781015,Guwahati,Guwahati,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thoppur_HghsclRD_D (Tamil Nadu),Thoppur,HghsclRD,D,Tamil Nadu,12.560889,78.871313,"Thoppur, TV, India",,,,,,,Thoppur,Tiruvannamalai,TV,Tamil Nadu,TN,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dharmapuri_Central_D_2 (Tamil Nadu),Dharmapuri,Central,D2,Tamil Nadu,12.1347988,78.1589864,"Dharmapuri, TN, India",,,,,,636700,Dharmapuri,Dharmapuri,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chandpur_NorprRD_D (Uttar Pradesh),Chandpur,NorprRD,D,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Sendhwa_VishnuVhr_D (Madhya Pradesh),Sendhwa,VishnuVhr,D,Madhya Pradesh,21.6870684,75.0920315,"Sendhwa, MP, India",,,,,,451666,Sendhwa,Sendhwa Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Mumbra_DC (Maharashtra),Mumbai,Mumbra,DC,Maharashtra,19.2124707,73.0077522,"Mumbra Toll Naka, Mumbai Agra National Highway, Thane - 400605, MH, India",Mumbra Toll Naka,,Mumbai Agra National Highway,,,400605,Thane,Thane Taluka,,Maharashtra,MH,India,in,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Banswara_KhandDPP_D (Rajasthan),Banswara,KhandDPP,D,Rajasthan,23.550075,74.446294,"Banswara, RJ, India",,,,,,327001,Banswara,Banswara Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jassur_AadiDPP_D (Himachal Pradesh),Jassur,AadiDPP,D,Himachal Pradesh,32.2816237,75.8494473,"Jassur, HP, India",,,,,,176201,Jassur,Nurpur,,Himachal Pradesh,HP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dalhousie_Banikhet_D (Himachal Pradesh),Dalhousie,Banikhet,D,Himachal Pradesh,32.5470191,75.9440021,"Banikhet, Dalhousie, India",,,,,Banikhet,176303,,Dalhousie,,Himachal Pradesh,HP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chamba_Bangotu_D (Himachal Pradesh),Chamba,Bangotu,D,Himachal Pradesh,32.5685883,76.0606241,"Bangotu, HP, India",,,,,,,Bangotu,Chamba,,Himachal Pradesh,HP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_Alwal_I (Telangana),Hyderabad,Alwal,I,Telangana,17.5022292,78.5088584,"Alwal, Hyderabad, TG, India",,,,Greater Hyderabad Municipal Corporation North Zone,Alwal,500015,Hyderabad,Alwal mandal,,Telangana,TG,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Delhi_Patparganj_DPC (Delhi),Delhi,Patparganj,DPC,Delhi,28.615749,77.288358,"Patparganj Road, Samaspur, Delhi - 110091, DL, India",,,Patparganj Road,,Samaspur,110091,Delhi,South West Delhi,SW,Delhi,DL,India,in,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhanvad_Mainroad_D (Gujarat),Bhanvad,Mainroad,D,Gujarat,21.929814,69.7806878,"Bhanvad, GJ, India",,,,,,360510,Bhanvad,Bhanvad Taluka,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mejia_Central_D_1 (West Bengal),Mejia,Central,D1,West Bengal,23.5730629,87.1074838,"Mejia, WB, India",,,,,,722143,Mejia,Mejhia,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rghunthpur_barkarRd_D (West Bengal),Rghunthpur,barkarRd,D,West Bengal,,,,,,,,,,,,,,,,,,,,,,
Hura_Central_D_1 (West Bengal),Hura,Central,D1,West Bengal,23.3013841,86.6587692,"Hura, WB, India",,,,,,723130,Hura,Hura,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dola_ChainDPP_D (Madhya Pradesh),Dola,ChainDPP,D,Madhya Pradesh,21.8492002,79.151148,"Dola, MP, India",,,,,,,Dola,Bichhua Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jhajjar_DC (Haryana),Jhajjar,,DC,Haryana,28.6066833,76.6580764,"Jhajjar, HR, India",,,,,,124104,Jhajjar,Jhajjar,,Haryana,HR,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Jogeshwri_L (Maharashtra),Mumbai,Jogeshwri,L,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat_Central_D_3 (Gujarat),Surat,Central,D3,Gujarat,21.169583,72.84339,"Central Road, Surat - 394210, GJ, India",,,Central Road,,,394210,Surat,Surat,SR,Gujarat,GJ,India,in,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Korba_Tilknagr_DC (Chhattisgarh),Korba,Tilknagr,DC,Chhattisgarh,22.3547468,82.7110855,"Korba, CT, India",,,,,,495600,Korba,Korba Tahsil,,Chhattisgarh,CT,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baheri_HoliCDPP_D (Uttar Pradesh),Baheri,HoliCDPP,D,Uttar Pradesh,28.7740963,79.4957143,"Baheri, UP, India",,,,,,243200,Baheri,Baheri,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pilibhit_ViksClny_D (Uttar Pradesh),Pilibhit,ViksClny,D,Uttar Pradesh,28.6294996,79.8054072,"Pilibhit, UP, India",,,,,,262001,Pilibhit,Pilibhit,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tinusukia_Chrwpaty_D (Assam),Tinusukia,Chrwpaty,D,Assam,,,,,,,,,,,,,,,,,,,,,,
DoomDooma_Pthrgoan_D (Assam),DoomDooma,Pthrgoan,D,Assam,26.272528,92.877434,"Assam, India",Assam,,,,,,,,,Assam,AS,India,in,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Namsai_HelipadRD_D (Arunachal Pradesh),Namsai,HelipadRD,D,Arunachal Pradesh,27.6658391,95.861432,"Namsai, AR, India",,,,,,792103,Namsai,Namsai HQ,,Arunachal Pradesh,AR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tezu_Farmnala_D (Arunachal Pradesh),Tezu,Farmnala,D,Arunachal Pradesh,27.9254195,96.1647135,"Tezu, AR, India",,,,,,792001,Tezu,Tezu HQ,,Arunachal Pradesh,AR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sujanpur_SainkSCL_D (Himachal Pradesh),Sujanpur,SainkSCL,D,Himachal Pradesh,31.8102,76.52643,"Tira Sujanpur, HA, India",,,,,,,Tira Sujanpur,Hamirpur,HA,Himachal Pradesh,HP,India,in,0.45,,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Bhubaneswar_BjbNgr_DC (Orissa),Bhubaneswar,BjbNgr,DC,Orissa,,,,,,,,,,,,,,,,,,,,,,
Tarkeshwar_Naraynpr_D (West Bengal),Tarkeshwar,Naraynpr,D,West Bengal,22.8809569,88.0144771,"Tarkeshwar, WB, India",,,,,,712410,Tarkeshwar,Tarakeswar,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chhaygaon_GwhRDDPP_D (Assam),Chhaygaon,GwhRDDPP,D,Assam,26.0491,91.3909,"Chhaygaon, AS, India",,,,,,781124,Chhaygaon,Chhaygaon,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chitradurga_DC (Karnataka),Chitradurga,,DC,Karnataka,14.2266443,76.4005122,"Chitradurga, KA, India",,,,,,577500,Chitradurga,Chitradurga taluku,,Karnataka,KA,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salempur_Banjaria_D (Uttar Pradesh),Salempur,Banjaria,D,Uttar Pradesh,26.26969,83.92419,"Salempur, DE, India",,,,,,,Salempur,Deoria,DE,Uttar Pradesh,UP,India,in,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Naugarh_Central_D_1 (Uttar Pradesh),Naugarh,Central,D1,Uttar Pradesh,24.83331,83.258069,"Naugarh, Baghi, CD, India",Naugarh,,,,Naugarh,,Baghi,Chandauli,CD,Uttar Pradesh,UP,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Usilampatti_MrutiNGR_D (Tamil Nadu),Usilampatti,MrutiNGR,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Nandikotkr_UmarDPP_D (Andhra Pradesh),Nandikotkr,UmarDPP,D,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,
Jamtara_D (Jharkhand),Jamtara,,D,Jharkhand,23.9630448,86.8027604,"Jamtara, JH, India",,,,,,815351,Jamtara,Jamtara,,Jharkhand,JH,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dumka_Dudhani_D (Jharkhand),Dumka,Dudhani,D,Jharkhand,24.28186,87.199678,"Dudhani, DM, India",,,,,,,Dudhani,Dumka,DM,Jharkhand,JH,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Pakur_Hatpada_D (Jharkhand),Pakur,Hatpada,D,Jharkhand,24.634947,87.847218,"Pakaur, PK, India",,,,,,,Pakaur,Pakur,PK,Jharkhand,JH,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Morena_Prjapati_D (Madhya Pradesh),Morena,Prjapati,D,Madhya Pradesh,26.4909914,77.9813656,"Morena, MP, India",,,,,,476001,Morena,Morena Nagar Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhind_EtwahDPP_D (Madhya Pradesh),Bhind,EtwahDPP,D,Madhya Pradesh,26.5652355,78.7889864,"Bhind, MP, India",,,,,,,Bhind,Bhind Nagar Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Asansol_DC (West Bengal),Asansol,,DC,West Bengal,23.6871297,86.9746587,"Asansol, WB, India",Asansol,,,,,,Asansol,Asansol Kulti Township,,West Bengal,WB,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salem_Kadtmpty_H (Tamil Nadu),Salem,Kadtmpty,H,Tamil Nadu,11.6551982,78.1581771,"Salem, TN, India",,,,,,636001,Salem,Salem,,Tamil Nadu,TN,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Changlang_Central_D_1 (Arunachal Pradesh),Changlang,Central,D1,Arunachal Pradesh,27.1398402,95.7382485,"Changlang, AR, India",,,,,,792120,Changlang,Changlang HQ,,Arunachal Pradesh,AR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Radhanpur_Santalpr_D (Gujarat),Radhanpur,Santalpr,D,Gujarat,23.8315668,71.6103884,"Radhanpur, GJ, India",,,,,,385340,Radhanpur,Radhanpur Taluka,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaipur_RIICO_L (Rajasthan),Jaipur,RIICO,L,Rajasthan,26.97878,75.774344,"RIICO Office, Ward 6, Jaipur - 302039, RJ, India",,,RIICO Office,Zone 9,Ward 6,302039,Jaipur,Jaipur,JP,Rajasthan,RJ,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gudalur_kalmpuza_D (Tamil Nadu),Gudalur,kalmpuza,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Azamgarh_ChtwrDPP_D (Uttar Pradesh),Azamgarh,ChtwrDPP,D,Uttar Pradesh,26.0654351,83.184439,"Azamgarh, UP, India",,,,,,276001,Azamgarh,Azamgarh,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saraimeer_MsmcyDPP_D (Uttar Pradesh),Saraimeer,MsmcyDPP,D,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,
Shahganj_KcharaRD_D (Uttar Pradesh),Shahganj,KcharaRD,D,Uttar Pradesh,26.02215,82.61712,"Shahganj, JU, India",,,,,,,Shahganj,Jaunpur,JU,Uttar Pradesh,UP,India,in,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Badlapur_Bhaluahi_D (Uttar Pradesh),Badlapur,Bhaluahi,D,Uttar Pradesh,25.8923297,82.4524702,"Badlapur, UP, India",,,,,,222125,Badlapur,Badlapur,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jind_DC (Haryana),Jind,,DC,Haryana,29.3140427,76.3179488,"Jind, HR, India",,,,,,126100,Jind,Jind,,Haryana,HR,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rewa_Dc (Madhya Pradesh),Rewa,,Dc,Madhya Pradesh,24.5359,81.2934,"Rewa, MP, India",,,,,,486001,Rewa,Huzur Tahsil,,Madhya Pradesh,MP,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Goa_Ponda_Dc (Goa),Goa,Ponda,Dc,Goa,15.392597,74.00036,"Ponda Court, Ponda - 403401, GA, India",Ponda Court,,,,,403401,Ponda,North Goa,NG,Goa,GA,India,in,0.9,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sihora_KtnRdDPP_D (Madhya Pradesh),Sihora,KtnRdDPP,D,Madhya Pradesh,23.4907117,80.1067203,"Sihora, MP, India",,,,,,483225,Sihora,Sihora Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haldia_Central_D_2 (West Bengal),Haldia,Central,D2,West Bengal,22.0624246,88.07052085232851,"Central jail, Milan, Central Jail Road, Haldia - 721631, WB, India",Central jail,Milan,Central Jail Road,,,721631,Haldia,Haldia,,West Bengal,WB,India,in,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Puranpur_MdothdRD_D (Uttar Pradesh),Puranpur,MdothdRD,D,Uttar Pradesh,28.5128878,80.1474813,"Puranpur, UP, India",,,,,,262122,Puranpur,Puranpur,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Asind_BsStdDPP_D (Rajasthan),Asind,BsStdDPP,D,Rajasthan,25.7339012,74.3321514,"Asind, RJ, India",,,,,,311300,Asind,Asind Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ambasamdrm_Solaiprm_D (Tamil Nadu),Ambasamdrm,Solaiprm,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,
Bamangola_Central_D_1 (West Bengal),Bamangola,Central,D1,West Bengal,25.1687857,88.3395195,"Bamangola, WB, India",,,,,,732147,Bamangola,Bamangola,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Varanasi (Uttar Pradesh),Varanasi,,,Uttar Pradesh,25.3356491,83.0076292,"Varanasi, UP, India",,,,,,221001,Varanasi,Sadar,,Uttar Pradesh,UP,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Badarpur_Konapara_D (Assam),Badarpur,Konapara,D,Assam,24.8711319,92.558515,"Badarpur, AS, India",,,,,,788805,Badarpur,Badarpur,,Assam,AS,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gokak_Bsavangr_D (Karnataka),Gokak,Bsavangr,D,Karnataka,16.1693033,74.8224338,"Gokak, KA, India",,,,,,591307,Gokak,Gokak taluku,,Karnataka,KA,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ghaziabad_RjndrNgr_DC (Uttar Pradesh),Ghaziabad,RjndrNgr,DC,Uttar Pradesh,28.6711527,77.4120356,"Ghaziabad, UP, India",,,,,,,Ghaziabad,Ghaziabad,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kapurthala_DC (Punjab),Kapurthala,,DC,Punjab,31.3815015,75.3843769,"Kapurthala, PB, India",,,,,,144601,Kapurthala,Kapurthala Tahsil,,Punjab,PB,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nakodar_ChowkDPP_D (Punjab),Nakodar,ChowkDPP,D,Punjab,33.4486127,72.6512072,"Nakodar, PB, Pakistan",,,,,,,Nakodar,Attock District,,Punjab,PB,Pakistan,pk,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faridabad_MohnVRTL_D (Haryana),Faridabad,MohnVRTL,D,Haryana,28.4031478,77.3105561,"Faridabad, HR, India",,,,,,121001,Faridabad,Faridabad,,Haryana,HR,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dhulian_RatanDPP_D (West Bengal),Dhulian,RatanDPP,D,West Bengal,24.6786543,87.954654,"Dhulian, WB, India",,,,,,742202,Dhulian,Samserganj,,West Bengal,WB,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhilad_Umargaon_DC (Gujarat),Bhilad,Umargaon,DC,Gujarat,20.2753937,72.8814029,"Bhilad, GJ, India",,,,,,396105,Bhilad,Umbergaon Taluka,,Gujarat,GJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vizag _NAD (Andhra Pradesh),Vizag,,NAD,Andhra Pradesh,17.717661,83.329888,"Love Vizag, Visakhapatnam - 530001, AP, India",Love Vizag,,,,,530001,Visakhapatnam,Visakhapatnam,VS,Andhra Pradesh,AP,India,in,0.9,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sirohi_Ricco_D (Rajasthan),Sirohi,Ricco,D,Rajasthan,24.886008,72.859374,"Sirohi, SR, India",,,,,,,Sirohi,Sirohi,SR,Rajasthan,RJ,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Sumerpur_BazarDPP_D (Rajasthan),Sumerpur,BazarDPP,D,Rajasthan,25.1538056,73.0816488,"Sumerpur, RJ, India",,,,,,306902,Sumerpur,Sumerpur Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Falna_SbhRDDPP_D (Rajasthan),Falna,SbhRDDPP,D,Rajasthan,25.2335457,73.2354341,"Falna, RJ, India",,,,,,,Falna,Bali Tehsil,,Rajasthan,RJ,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
OK_RPC (Delhi),OK,,RPC,Delhi,51.74516415,19.331203375950274,"OK, Konstantynów Łódzki, Łódź Voivodeship, Poland",OK,,,,OK,,Konstantynów Łódzki,Pabianice County,,Łódź Voivodeship,,Poland,pl,0.26666666666666666,,0.26666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kanpur_Rawatpur_D (Uttar Pradesh),Kanpur,Rawatpur,D,Uttar Pradesh,26.453562,80.309698,"Kanpur, KN, India",,,,,,,Kanpur,Kanpur,KN,Uttar Pradesh,UP,India,in,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chennai_Mylapore (Tamil Nadu),Chennai,,Mylapore,Tamil Nadu,13.0836939,80.270186,"Chennai, TN, India",,,,,,600001,Chennai,Chennai,,Tamil Nadu,TN,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jhansi_LVMColge_D (Uttar Pradesh),Jhansi,LVMColge,D,Uttar Pradesh,25.4502464,78.5800085,"Jhansi, UP, India",,,,,,,Jhansi,Jhansi,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lalitpur_RjghatRd_D (Uttar Pradesh),Lalitpur,RjghatRd,D,Uttar Pradesh,24.6935695,78.4178866,"Lalitpur, UP, India",,,,,,284403,Lalitpur,Lalitpur Tehsil,,Uttar Pradesh,UP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tikamgarh_MndiRoad_D (Madhya Pradesh),Tikamgarh,MndiRoad,D,Madhya Pradesh,24.7428616,78.8322022,"Tikamgarh, MP, India",,,,,,472001,Tikamgarh,Tikamgarh Tahsil,,Madhya Pradesh,MP,India,in,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Panipat (Haryana),Panipat,,,Haryana,29.3912753,76.9771675,"Panipat, HR, India",,,,,,132100,Panipat,Panipat,,Haryana,HR,India,in,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RampuraPhul_DC (Punjab),RampuraPhul,,DC,Punjab,30.21108,74.950792,"Dhillon Hospital, Rampuraphul, Bathinda - 151001, PB, India","Dhillon Hospital, Rampuraphul",,,,,151001,Bathinda,Bathinda,BA,Punjab,PB,India,in,0.81,,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
