original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,suburb,district,postcode,city,county_code,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Kolkata_North_I_4 (West Bengal),Kolkata,North,I4,West Bengal,22.4967304,88.3688687,"North Road, Jadavpur, Kolkata - 700032, WB, India",,,North Road,Jadavpur,,700032,Kolkata,,,West Bengal,WB,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bagnan_Harop_D (West Bengal),Bagnan,Harop,D,West Bengal,22.4674309,87.9689846,"Bagnan, WB, India",,,,,,711303,Bagnan,,Bagnan - I,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kolaghat_Central_DPP_2 (West Bengal),Kolaghat,Central,DPP2,West Bengal,22.4319479,87.8631172,"Kolaghat, WB, India",,,,,,721134,Kolaghat,,Kolaghat,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Delhi_Airport_H (Delhi),Delhi,Airport,H,Delhi,28.556463,77.0867,"IGI Airport, Nangal Dewat, Delhi - 110077, DL, India",IGI Airport,,,Nangal Dewat,,110077,Delhi,SW,South West Delhi,Delhi,DL,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Guwahati_North (Assam),Guwahati,,North,Assam,26.1805978,91.753943,"Guwahati, AS, India",,,,,,781015,Guwahati,,Guwahati,Assam,AS,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Sanpada_I (Maharashtra),Mumbai,Sanpada,I,Maharashtra,19.06597735,73.00953290144423,"Sanpada Station Road, Sanpada, Navi Mumbai - 400706, MH, India",Sanpada,,Sanpada Station Road,Sanpada,,400706,Navi Mumbai,,Thane Taluka,Maharashtra,MH,India,in,,0.81,0.81,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Delhi_North_R_8 (Delhi),Delhi,North,R8,Delhi,28.48719,77.181057,"North Drive, Chattarpur, Delhi - 110030, DL, India",,,North Drive,Chattarpur,,110030,Delhi,SW,South West Delhi,Delhi,DL,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Puttaprthi_Gokulam_D (Andhra Pradesh),Puttaprthi,Gokulam,D,Andhra Pradesh,17.283824,82.402855,"Gokulam, Annavaram - 533406, AP, India",Gokulam,,,,,533406,Annavaram,EG,East Godavari,Andhra Pradesh,AP,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hindupur_Parigi_D (Andhra Pradesh),Hindupur,Parigi,D,Andhra Pradesh,13.83124,77.492283,"Parigi Bustand, Hindupur - 515321, AP, India",,,Parigi Bustand,,,515321,Hindupur,AN,Anantapur,Andhra Pradesh,AP,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GreaterThane_Anjur_C (Maharashtra),GreaterThane,Anjur,C,Maharashtra,19.215077,73.039238,"Anjur, TN, India",,,,,,,Anjur,TN,Thane,Maharashtra,MH,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Hyderabad_Shamshbd_H (Telangana),Hyderabad,Shamshbd,H,Telangana,,,,,,,,,,,,,,,,,,,,,,,
Patancheru_Ameenpur_I (Telangana),Patancheru,Ameenpur,I,Telangana,17.54326,78.22964,"Patancheru, ME, India",,,,,,,Patancheru,ME,Medak,Telangana,TG,India,in,,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Del_Okhla_PC (Delhi),Del,Okhla,PC,Delhi,28.559475,77.265623,"Okhla, Kailash Hill, New Delhi - 110020, DL, India",Okhla,,,Kailash Hill,,110020,New Delhi,SW,South West Delhi,Delhi,DL,India,in,,0.3969,0.3969,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bengaluru_KHRoad_I (Karnataka),Bengaluru,KHRoad,I,Karnataka,12.9767936,77.590082,"Bengaluru, KA, India",,,,,,560001,Bengaluru,,Bangalore North,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muzaffrpur_Bbganj_I (Bihar),Muzaffrpur,Bbganj,I,Bihar,25.222194,85.547982,"Bihar, NL, India",,,,,,,Bihar,NL,Nalanda,Bihar,BR,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Darbhanga (Bihar),Darbhanga,,,Bihar,26.156999,85.8995065,"Darbhanga, BR, India",,,,,,846004,Darbhanga,,Darbhanga,Bihar,BR,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Benipur_Javahar_D (Bihar),Benipur,Javahar,D,Bihar,26.0623441,86.1440027,"Benipur, BR, India",,,,,,847103,Benipur,,Benipur,Bihar,BR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jhanjharpur_Nagar_D (Bihar),Jhanjharpur,Nagar,D,Bihar,26.26457,86.279739,"Jhanjharpur, MB, India",,,,,,,Jhanjharpur,MB,Madhubani,Bihar,BR,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dhule_MIDCAvdn_I (Maharashtra),Dhule,MIDCAvdn,I,Maharashtra,20.898,74.7732,"Dhule, MH, India",,,,,,424001,Dhule,,Dhule Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sakri_DhuleRoad_D (Maharashtra),Sakri,DhuleRoad,D,Maharashtra,20.9910829,74.3154391,"Sakri, MH, India",,,,,,424304,Sakri,,Sakri Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nandurbar_DhuleRd_D (Maharashtra),Nandurbar,DhuleRd,D,Maharashtra,21.363778,74.2411418,"Nandurbar, MH, India",,,,,,425412,Nandurbar,,Nandurbar Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shahada_Nandrbar_D (Maharashtra),Shahada,Nandrbar,D,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Shirpur_KrantiNgr_D (Maharashtra),Shirpur,KrantiNgr,D,Maharashtra,21.3527715,74.8841836,"Shirpur, MH, India",,,,,,425405,Shirpur,,Shirpur Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hooghly_DC (West Bengal),Hooghly,,DC,West Bengal,22.7326552,88.36026136074123,"Hooghly, Kolkata, Barrackpore, India",Hooghly,,,,,,Kolkata,,Barrackpore,West Bengal,WB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hoogly_Bandel_D (West Bengal),Hoogly,Bandel,D,West Bengal,22.92261,88.37699,"Bāndel, Hooghly, India",Bāndel,,,,,,,HG,Hooghly,West Bengal,WB,India,in,,0.7714285714285714,0.7714285714285714,0.7714285714285714,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
GZB_Mohan_Nagar_DPC (Uttar Pradesh),GZB,Mohan,NagarDPC,Uttar Pradesh,28.6785372,77.3840026,"Mohan Nagar, GT Road, Rajendra Nagar, Ghaziabad - 201005, UP, India",Mohan Nagar,,GT Road,Rajendra Nagar,,201005,Ghaziabad,,Ghaziabad,Uttar Pradesh,UP,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pilkhuwa_HapurRD_D (Uttar Pradesh),Pilkhuwa,HapurRD,D,Uttar Pradesh,28.7142498,77.654851,"Pilkhuwa, UP, India",,,,,,,Pilkhuwa,,Dhaulana,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmedabad_Paldi_D (Gujarat),Ahmedabad,Paldi,D,Gujarat,23.016853,72.555664,"Paldi, Ahmedabad, AH, India",Paldi,,,Paldi,,,Ahmedabad,AH,Ahmadabad,Gujarat,GJ,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bengaluru_Peenya_IP (Karnataka),Bengaluru,Peenya,IP,Karnataka,13.032981,77.53318,"Peenya, Bengaluru - 560001, KA, India",Peenya,,,Peenya,Rajarajeswari Nagar,560001,Bengaluru,BN,Bangalore,Karnataka,KA,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sedam_DBRCmplx_D (Karnataka),Sedam,DBRCmplx,D,Karnataka,17.1772683,77.2823552,"Sedam, KA, India",,,,,,585222,Sedam,,Sedam taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chincholi_Mainroad_D (Karnataka),Chincholi,Mainroad,D,Karnataka,16.39287,76.72874,"Chincholi, Yergudda, RA, India",Chincholi,,,Chincholi,,,Yergudda,RA,Raichur,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Dindigul_Central_D_1 (Tamil Nadu),Dindigul,Central,D1,Tamil Nadu,10.365646,77.9693256,"Dindigul, TN, India",,,,,,624001,Dindigul,,Dindigul,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oddnchtram_Palani_D (Tamil Nadu),Oddnchtram,Palani,D,Tamil Nadu,10.459021,77.517681,"Palani, DI, India",,,,,,,Palani,DI,Dindigul,Tamil Nadu,TN,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Palani_RjndraRd_D (Tamil Nadu),Palani,RjndraRd,D,Tamil Nadu,10.4511094,77.5154495,"Palani, TN, India",,,,,,624600,Palani,,Palani,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kodaikanal_Athithnr_DC (Tamil Nadu),Kodaikanal,Athithnr,DC,Tamil Nadu,10.233712,77.4919719,"Kodaikanal, TN, India",,,,,,,Kodaikanal,,Kodaikanal,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Batlagundu_RTOofice_D (Tamil Nadu),Batlagundu,RTOofice,D,Tamil Nadu,10.1636087,77.7590978,"Batlagundu, TN, India",,,,,,624202,Batlagundu,,Nilakkottai,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Villupuram_Thirumtr_IP (Tamil Nadu),Villupuram,Thirumtr,IP,Tamil Nadu,11.946619,79.495952,"Viluppuram, VL, India",,,,,,,Viluppuram,VL,Villupuram,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Panruti_GandhiRd_D (Tamil Nadu),Panruti,GandhiRd,D,Tamil Nadu,11.7722823,79.5518978,"Panruti, TN, India",,,,,,607106,Panruti,,Panruti,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neyveli_NJVNgr_D (Tamil Nadu),Neyveli,NJVNgr,D,Tamil Nadu,11.612295,79.493455,"Neyveli, PO, India",,,,,,,Neyveli,PO,Cuddalore,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Virudhchlm_SelamRd_D (Tamil Nadu),Virudhchlm,SelamRd,D,Tamil Nadu,11.052213,78.408526,"Tamil Nadu, India",Tamil Nadu,,,,,,,,,Tamil Nadu,TN,India,in,,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Pennadam_EastmnRD_D (Tamil Nadu),Pennadam,EastmnRD,D,Tamil Nadu,11.4028109,79.2416716,"Pennadam, TN, India",,,,,,606105,Pennadam,,Tittakudi,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chinnasalem_VkotRoad_D (Tamil Nadu),Chinnasalem,VkotRoad,D,Tamil Nadu,11.6354866,78.8809891,"Chinnasalem, TN, India",,,,,,606201,Chinnasalem,,Kallakkurichi,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kazhakkoottam_Rdiosttn_D (Kerala),Kazhakkoottam,Rdiosttn,D,Kerala,8.5660255,76.8737867,"Kazhakkoottam, Thiruvananthapuram, KL, India",,,,Kazhakkoottam,,695001,Thiruvananthapuram,,Thiruvananthapuram,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Attingal_Central_D_2 (Kerala),Attingal,Central,D2,Kerala,8.6985965,76.8134401,"Attingal, KL, India",,,,,,695100,Attingal,,Chirayinkeezhu,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kalluvathukal_Pariplly_D (Kerala),Kalluvathukal,Pariplly,D,Kerala,,,,,,,,,,,,,,,,,,,,,,,
Bhubaneshwar_Nayapalli (Orissa),Bhubaneshwar,,Nayapalli,Orissa,20.2602964,85.8394521,"Bhubaneshwar, OR, India",,,,,,751001,Bhubaneshwar,,Bhubaneswar (M.Corp.),Odisha,OR,India,in,,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Visakhapatnam_VislkNgr_DC (Andhra Pradesh),Visakhapatnam,VislkNgr,DC,Andhra Pradesh,17.6935526,83.2921297,"Visakhapatnam, AP, India",,,,,,530001,Visakhapatnam,,Visakhapatnam (Urban),Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bheemunipatnam_SaiTempl_D (Andhra Pradesh),Bheemunipatnam,SaiTempl,D,Andhra Pradesh,17.8913852,83.4508737,"Bheemunipatnam, AP, India",,,,,,531163,Bheemunipatnam,,Bheemunipatnam,Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vizianagaram_NcsRd_DC (Andhra Pradesh),Vizianagaram,NcsRd,DC,Andhra Pradesh,18.1141255,83.4114389,"Vizianagaram, AP, India",,,,,,535001,Vizianagaram,,Vizianagaram,Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AMD_Rakhial (Gujarat),AMD,,Rakhial,Gujarat,23.361661,71.64895,"Gujarat, India",Gujarat,,,,,,,,,Gujarat,GJ,India,in,,0.5,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Baddi_ByePass_D (Himachal Pradesh),Baddi,ByePass,D,Himachal Pradesh,30.9339975,76.8063071,"Baddi, HP, India",,,,,,173205,Baddi,,Baddi,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faridabad (Haryana),Faridabad,,,Haryana,28.4031478,77.3105561,"Faridabad, HR, India",,,,,,121001,Faridabad,,Faridabad,Haryana,HR,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Sanpada_CP (Maharashtra),Mumbai,Sanpada,CP,Maharashtra,19.06597735,73.00953290144423,"Sanpada Station Road, Sanpada, Navi Mumbai - 400706, MH, India",Sanpada,,Sanpada Station Road,Sanpada,,400706,Navi Mumbai,,Thane Taluka,Maharashtra,MH,India,in,,0.81,0.81,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan_Pandrnga_I (Karnataka),Hassan,Pandrnga,I,Karnataka,13.0070817,76.0992703,"Hassan, KA, India",,,,,,573201,Hassan,,Hasana taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Channaraya_patna_D (Karnataka),Channaraya,patna,D,Karnataka,12.917845,77.607422,"Patna Wale, Gurappanapalya, Bangalore - 560029, KA, India",Patna Wale,,,Gurappanapalya,South Bangalore,560029,Bangalore,BN,Bangalore,Karnataka,KA,India,in,,0.27,0.27,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Koppa_BMRd_D (Karnataka),Koppa,BMRd,D,Karnataka,13.534734,75.365613,"Koppa, CK, India",,,,,,,Koppa,CK,Chikmagalur,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Madikeri_MuthpTmp_D (Karnataka),Madikeri,MuthpTmp,D,Karnataka,12.42149,75.7387543,"Madikeri, KA, India",,,,,,571201,Madikeri,,Madikeri taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ramanathapura_Central_D_2 (Karnataka),Ramanathapura,Central,D2,Karnataka,13.308261,77.638328,"Ramanathapura, BU, India",,,,,,,Ramanathapura,BU,Bangalore Rural,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Tiptur_YTRd_D (Karnataka),Tiptur,YTRd,D,Karnataka,13.256731,76.476383,"Tiptur, TU, India",,,,,,,Tiptur,TU,Tumkur,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Arsikere_HsnRdDPP_D (Karnataka),Arsikere,HsnRdDPP,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,,
Mudigere_HesglDPP_D (Karnataka),Mudigere,HesglDPP,D,Karnataka,13.141291,75.641777,"Mudigere, CK, India",,,,,,,Mudigere,CK,Chikmagalur,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Sakleshpur_RgvdrDPP_D (Karnataka),Sakleshpur,RgvdrDPP,D,Karnataka,12.9434349,75.7862318,"Sakleshpur, KA, India",,,,,,573134,Sakleshpur,,Sakaleshapura taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_East_I_21 (Maharashtra),Mumbai,East,I21,Maharashtra,19.142974,72.855068,"Jogeshwari East, Goregaon, Mumbai - 400060, MH, India",Jogeshwari East,,,Goregaon,Zone 4,400060,Mumbai,MU,Mumbai City,Maharashtra,MH,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gurgaon_Central_D_15 (Haryana),Gurgaon,Central,D15,Haryana,28.416807,77.0636968,"Nirvana Central Avenue, Sector 50, Gurgaon - 101301, HR, India",Nirvana Central Avenue,,Nirvana Central Avenue,Sector 50,Espace,101301,Gurgaon,,,Haryana,HR,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pataudi_DC (Haryana),Pataudi,,DC,Haryana,28.325914,76.7787023,"Pataudi (Gurugram), HR, India",,,,,,123503,Gurugram,,,Haryana,HR,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sankari_Trchngrd_D (Tamil Nadu),Sankari,Trchngrd,D,Tamil Nadu,11.475781,77.870416,"Sankari, SA, India",,,,,,,Sankari,SA,Salem,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Murshidabad_Sirjudol_D (West Bengal),Murshidabad,Sirjudol,D,West Bengal,24.1745993,88.2721335,"Murshidabad, WB, India",,,,,,742149,Murshidabad,,Murshidabad Jiaganj,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lalgola_KrsprDPP_D (West Bengal),Lalgola,KrsprDPP,D,West Bengal,24.4204752,88.255121,"Lalgola, WB, India",,,,,,742148,Lalgola,,Lalgola,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ragunthgnj_GopalDPP_D (West Bengal),Ragunthgnj,GopalDPP,D,West Bengal,,,,,,,,,,,,,,,,,,,,,,,
Jangipur_Central_D_1 (West Bengal),Jangipur,Central,D1,West Bengal,24.473946,88.060658,"Central Cooperative Bank Jangipur, Dafarpur - 742225, WB, India",Central Cooperative Bank Jangipur,,,,,742225,Dafarpur,MU,Murshidabad,West Bengal,WB,India,in,,0.5314410000000002,0.5314410000000002,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sagardighi_UtBzrDPP_D (West Bengal),Sagardighi,UtBzrDPP,D,West Bengal,24.2899135,88.0922003,"Sagardighi, WB, India",,,,,,742226,Sagardighi,,Sagardighi,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thiruvadanai_RamnadRD_D (Tamil Nadu),Thiruvadanai,RamnadRD,D,Tamil Nadu,9.78341,78.91874,"Thiruvadanai, Tiruvadanai, RA, India",Thiruvadanai,,,Thiruvadanai,,,Tiruvadanai,RA,Ramanathapuram,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Oriyur_Vllyaprm_D (Tamil Nadu),Oriyur,Vllyaprm,D,Tamil Nadu,10.9996372,79.2130068,"Oriyur, TN, India",,,,,,,Oriyur,,Ariyalur,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Manamelkudi_TmpleSrt_D (Tamil Nadu),Manamelkudi,TmpleSrt,D,Tamil Nadu,10.0419221,79.229987,"Manamelkudi, TN, India",,,,,,614620,Manamelkudi,,Manamelkudi taluk,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hubli_Adargchi_IP (Karnataka),Hubli,Adargchi,IP,Karnataka,15.3518378,75.1379848,"Hubli, KA, India",,,,,,580020,Hubli,,Hubballi Urban Taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ramdurg_GndhiNGR_D (Karnataka),Ramdurg,GndhiNGR,D,Karnataka,15.9449549,75.2967797,"Ramdurg, KA, India",,,,,,,Ramdurg,,Ramadurga taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bagalkot_Sector4_D (Karnataka),Bagalkot,Sector4,D,Karnataka,16.1853166,75.6967919,"Bagalkote, KA, India",,,,,,587102,Bagalkote,,Bagalakote taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rona_GadagRD_D (Karnataka),Rona,GadagRD,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,,
Gadag_Cdosclrd_D (Karnataka),Gadag,Cdosclrd,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh_Mehmdpur_H (Punjab),Chandigarh,Mehmdpur,H,Punjab,30.537984,75.958522,"Chandigarh, Sehke, SR, India",Chandigarh,,,Chandigarh,,,Sehke,SR,Sangrur,Punjab,PB,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ganga Nagar_DC (Rajasthan),Ganga Nagar,,DC,Rajasthan,26.9130086,75.7245126,"Ganga nagar, Panchyawala, Jaipur, RJ, India",,,,Panchyawala,Ganga nagar,302001,Jaipur,,Jaipur Tehsil,Rajasthan,RJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Noida_Chukhndi_D (Uttar Pradesh),Noida,Chukhndi,D,Uttar Pradesh,28.5706333,77.3272147,"Dadri (Noida), UP, India",,,,,,201301,Noida,,Gautam Buddha Nagar,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hyderabad_Chikdply_I (Telangana),Hyderabad,Chikdply,I,Telangana,,,,,,,,,,,,,,,,,,,,,,,
Dhaka_PchpkrRD_D (Bihar),Dhaka,PchpkrRD,D,Bihar,26.6741967,85.1670195,"Dhaka, BR, India",,,,,,845418,Dhaka,,Dhaka,Bihar,BR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bettiah_BypassRd_D (Bihar),Bettiah,BypassRd,D,Bihar,26.8023,84.5074,"Bettiah, BR, India",,,,,,808202,Bettiah,,Bettiah,Bihar,BR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Narktiganj_Central_DPP_2 (Bihar),Narktiganj,Central,DPP2,Bihar,26.499803,89.309014,"Central School Colony, Purba Kathalbari, WB, India",Central School Colony,,,Central School Colony,,,Purba Kathalbari,,Koch Bihar,West Bengal,WB,India,in,,0.12,,0.24,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Coimbatore_Karayam_H (Tamil Nadu),Coimbatore,Karayam,H,Tamil Nadu,11.0018115,76.9628425,"Coimbatore, TN, India",,,,,,641001,Coimbatore,,Coimbatore North,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Udumalpet_Artclgrd_D (Tamil Nadu),Udumalpet,Artclgrd,D,Tamil Nadu,10.583649,77.247474,"Govt Hospital Udumalai, Udumalaipettai - 642126, TN, India",Govt Hospital Udumalai,,,,,642126,Udumalaipettai,TP,Tiruppur,Tamil Nadu,TN,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pollachi_Venkatsa_DC (Tamil Nadu),Pollachi,Venkatsa,DC,Tamil Nadu,10.6588234,77.00873,"Pollachi, TN, India",,,,,,642001,Pollachi,,Pollachi,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kathua_BOB_D (Jammu & Kashmir),Kathua,BOB,D,Jammu & Kashmir,32.3765524,75.5243044,"Kathua, JK, India",,,,,,184101,Kathua,,Kathua,Jammu and Kashmir,JK,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jammu_TrnptNgr_L (Jammu & Kashmir),Jammu,TrnptNgr,L,Jammu & Kashmir,32.7185614,74.8580917,"Jammu, JK, India",,,,,,180001,Jammu,,Jammu,Jammu and Kashmir,JK,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Samba_Wardno13_D (Jammu & Kashmir),Samba,Wardno13,D,Jammu & Kashmir,32.5622412,75.1165585,"Samba, JK, India",,,,,,184121,Samba,,Samba,Jammu and Kashmir,JK,India,in,,0.25,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Delhi_Nangli_IP (Delhi),Delhi,Nangli,IP,Delhi,28.557163,77.163665,"Delhi, SW, India",,,,,,,Delhi,SW,South West Delhi,Delhi,DL,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
DehriSone_Dilliyan_D (Bihar),DehriSone,Dilliyan,D,Bihar,,,,,,,,,,,,,,,,,,,,,,,
AurngbadBR_Mahindra_D (Bihar),AurngbadBR,Mahindra,D,Bihar,25.422694,88.261529,"Mahindra, WB, India",,,,,,,Mahindra,,Uttar Dinajpur,West Bengal,WB,India,in,,0.026627218934911247,,0.053254437869822494,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
